"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","territory"
"486B",4860002,"intact",343540,4995783,"486"
"487C",4870003,"intact",517024,5125764,"487"
"488B",4880002,"intact",348118,4824378,"488"
"490B",4900002,"intact",615043,4926341,"490"
"491C",4910003,"intact",448143,4930358,"491"
"492A",4920001,"intact",612736,5014637,"492"
"493A",4930001,"intact",643864,5002235,"493"
"494A",4940001,"intact",436134,4862418,"494"
"495A",4950001,"intact",611460,4992490,"495"
"496A",4960001,"intact",642100,4974944,"496"
"498B",4980002,"intact",536453,5050256,"498"
"499B",4990002,"intact",480960,4870577,"499"
"500C",5000003,"intact",514983,4936949,"500"
"501C",5010003,"intact",508760,4852144,"501"
"502B",5020002,"intact",586469,4923214,"502"
"503A",5030001,"intact",574969,4940513,"503"
"504C",5040003,"intact",531748,4873493,"504"
"505C",5050003,"intact",549659,4887952,"505"
"506A",5060001,"intact",572626,4915386,"506"
"507A",5070001,"intact",639625,4972600,"507"
"508B",5080002,"intact",542047,4890982,"508"
"510A",5100001,"intact",403890,4879491,"510"
"512B",5120002,"intact",453309,4932988,"512"
"513B",5130002,"intact",469051,4962800,"513"
"514A",5140001,"intact",431133,4965998,"514"
"515A",5150001,"intact",404287,5089078,"515"
"517A",5170001,"intact",635785,4987348,"517"
"518B",5180002,"intact",574127,5167696,"518"
"519A",5190001,"intact",385262,4949127,"519"
"520A",5200001,"intact",656515,4959417,"520"
"521C",5210003,"intact",526888,4934489,"521"
"522B",5220002,"intact",428905,4872821,"522"
"523A",5230001,"intact",356746,4924745,"523"
"524A",5240001,"intact",585334,4938305,"524"
"525A",5250001,"intact",640603,4976217,"525"
"526B",5260002,"intact",649191,4969463,"526"
"528A",5280001,"intact",568716,4931769,"528"
"529A",5290001,"intact",371351,4862925,"529"
"530A",5300001,"intact",424371,4848169,"530"
"531A",5310001,"intact",431139,4870018,"531"
"533A",5330001,"intact",567025,4993463,"533"
"534A",5340001,"intact",411143,4943735,"534"
"535C",5350003,"intact",545717,4938398,"535"
"536A",5360001,"intact",578066,5227985,"536"
"537B",5370002,"intact",408280,4914834,"537"
"539A",5390001,"intact",434723,4936300,"539"
"540B",5400002,"intact",460511,4941430,"540"
"541C",5410003,"intact",438945,4896197,"541"
"542B",5420002,"intact",601866,4944542,"542"
"543A",5430001,"intact",469856,4999095,"543"
"544A",5440001,"intact",503263,4897739,"544"
"545A",5450001,"intact",648746,4972978,"545"
"546B",5460002,"intact",575419,4929348,"546"
"547A",5470001,"intact",388950,4824157,"547"
"548A",5480001,"intact",455263,5180717,"548"
"549B",5490002,"intact",375304,4823904,"549"
"550A",5500001,"intact",562477,5062991,"550"
"551B",5510002,"intact",449854,5040669,"551"
"552A",5520001,"intact",431844,5106632,"552"
"553A",5530001,"intact",556115,4924422,"553"
