"","nest_id","nest_area","lat","long","x","y"
"264","215D","215",4883141,534113,4883141,534113
"265","468A","468",5018118,545999,5018118,545999
"266","724A","724",5014148,518879,5014148,518879
"267","621A","621",4882896,458589,4882896,458589
"268","228F","228",5186594,538117,5186594,538117
"269","205R01","205",5018454,558197,5018454,558197
"270","047A","047",4925142,595287,4925142,595287
"271","441A","441",5111000,462269,5111000,462269
"272","302A","302",5004160,396893,5004160,396893
"273","286A","286",4920714,555710,4920714,555710
"274","412B","412",4926554,404228,4926554,404228
"275","073F","073",5000734,634742,5000734,634742
"276","576A","576",4941286,633267,4941286,633267
"277","434R01","434",5037798,461047,5037798,461047
"278","009G","009",4872680,433841,4872680,433841
"279","711A","711",4883235,350894,4883235,350894
"280","123B","123",4979094,644834,4979094,644834
"281","101C","101",4974661,643409,4974661,643409
"282","299A","299",5058653,553518,5058653,553518
"283","645B","645",4873068,448682,4873068,448682
"284","722A","722",5026664,469415,5026664,469415
"285","308C","308",4917316,448360,4917316,448360
"286","592A","592",4922774,573458,4922774,573458
"287","685A","685",4900351,478251,4900351,478251
"288","426A","426",4970734,649446,4970734,649446
"289","075D","075",4987371,557527,4987371,557527
"290","317B","317",4906475,447487,4906475,447487
"291","234A","234",5009610,589704,5009610,589704
"292","734B","734",4869901,383014,4869901,383014
"293","570A","570",4970999,651520,4970999,651520
"294","366C","366",4957415,651673,4957415,651673
"295","538B","538",4922471,444946,4922471,444946
"296","682A","682",5020151,590537,5020151,590537
"297","418C","418",4941741,601278,4941741,601278
"298","482A","482",5027201,398699,5027201,398699
"299","219B","219",4961490,338830,4961490,338830
"300","168D","168",4853954,435831,4853954,435831
"301","338C","338",5018780,530762,5018780,530762
"302","553A","553",4924421,556115,4924421,556115
"303","283B","283",5048950,615181,5048950,615181
"304","259D","259",5005497,604823,5005497,604823
"305","512A","512",4933001,453283,4933001,453283
"306","376A","376",4858800,386158,4858800,386158
"307","271C","271",4931649,500682,4931649,500682
"308","447A","447",5212786,544920,5212786,544920
"309","048H","048",4930127,595078,4930127,595078
"310","312C","312",4908814,521582,4908814,521582
"311","704A","704",5021757,432809,5021757,432809
"312","628B","628",5049174,537958,5049174,537958
"313","408B","408",4889238,403079,4889238,403079
"314","675A","675",4964171,438798,4964171,438798
"315","203B","203",4951370,467164,4951370,467164
"316","063E","063",4966314,646029,4966314,646029
"317","013G","013",4859284,441020,4859284,441020
"318","510A","510",4879490,403889,4879490,403889
"319","661A","661",4850360,431593,4850360,431593
"320","491D","491",4929814,447651,4929814,447651
"321","584A","584",5002810,529709,5002810,529709
"322","429E","429",4892382,543148,4892382,543148
"323","504D","504",4873489,531438,4873489,531438
"324","324B","324",4903231,520668,4903231,520668
"325","456A","456",4948416,531940,4948416,531940
"326","039B","039",4921740,568644,4921740,568644
"327","633C","633",4885922,550837,4885922,550837
"328","557A","557",4966938,513550,4966938,513550
"329","410D","410",4907334,428977,4907334,428977
"330","540B","540",4941429,460511,4941429,460511
"331","390B","390",5108995,485324,5108995,485324
"332","300B","300",4926037,544694,4926037,544694
"333","414B","414",4957465,445216,4957465,445216
"334","285C","285",5062113,509742,5062113,509742
"335","080C","080",5000600,603011,5000600,603011
"336","266B","266",4999664,628353,4999664,628353
"337","118B","118",4970390,635997,4970390,635997
"338","741A","741",5149558,453255,5149558,453255
"339","282A","282",4946617,367667,4946617,367667
"340","144D","144",4923732,586258,4923732,586258
"341","435A","435",4935364,592764,4935364,592764
"342","379D","379",4862212,430070,4862212,430070
"343","035D","035",4925100,563288,4925100,563288
"344","686A","686",4881422,366040,4881422,366040
"345","046F","046",4922634,591464,4922634,591464
"346","038E","038",4924680,570659,4924680,570659
"347","476A","476",5051349,582464,5051349,582464
"348","125G","125",4926982,608688,4926982,608688
"349","099C","099",4841201,417255,4841201,417255
"350","401B","401",4926204,592722,4926204,592722
