"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","active_2013","active_2014","active_2015","active_2016"
"387A",3870001,"intact",543015,5048335,NA,NA,NA,NA
"097D",970004,"intact",542562,5048874,NA,NA,NA,NA
"498A",4980001,"historic",536321,5050346,NA,NA,NA,NA
"498B",4980002,"intact",536453,5050256,NA,NA,NA,NA
"214A",2140001,"historic",533864,5051514,NA,NA,NA,NA
"214D",2140004,"intact",531845,5052587,NA,NA,NA,NA
"214B",2140002,"historic",529115,5053840,NA,NA,NA,NA
"098C",980003,"historic",529541,5054212,NA,NA,NA,NA
"289B",2890002,"historic",527319,5053600,NA,NA,NA,NA
"236C",2360003,"historic",525328,5052514,NA,NA,NA,NA
"236D",2360004,"intact",524900,5051811,NA,NA,NA,NA
"236A",2360001,"intact",525673,5053904,NA,NA,NA,NA
"289C",2890003,"intact",528211,5054803,NA,NA,NA,NA
"289A",2890001,"historic",528252,5055172,NA,NA,NA,NA
"098D",980004,"intact",528309,5056104,NA,NA,NA,NA
"098A",980001,"historic",528786,5056010,NA,NA,NA,NA
"098E",980005,"intact",528614,5056043,NA,NA,NA,NA
"613A",6130001,"intact",519692,5054270,NA,NA,NA,NA
"141A",1410001,"intact",518546,5053150,NA,NA,NA,NA
"141B",1410002,"historic",518775,5052338,NA,NA,NA,NA
"141C",1410003,"intact",518842,5053050,NA,NA,NA,NA
"385A",3850001,"intact",516432,5053892,NA,NA,NA,NA
"175A",1750001,"historic",506387,5037150,NA,NA,NA,NA
"175B",1750002,"intact",507584,5036820,NA,NA,NA,NA
"462A",4620001,"intact",521112,5039854,NA,NA,NA,NA
"176A",1760001,"intact",525077,5036850,NA,NA,NA,NA
"245A",2450001,"historic",507542,5053210,NA,NA,NA,NA
"245B",2450002,"intact",505552,5052697,NA,NA,NA,NA
"285B",2850002,"intact",509337,5061660,NA,NA,NA,NA
"285A",2850001,"intact",509529,5062030,NA,NA,NA,NA
"299A",2990001,"intact",553518,5058653,NA,NA,NA,NA
"350A",3500001,"intact",568921,5044900,NA,NA,NA,NA
"174B",1740002,"intact",525084,5026253,NA,NA,NA,NA
"174A",1740001,"historic",523828,5027301,NA,NA,NA,NA
"332A",3320001,"intact",475421,5058580,NA,NA,NA,NA
"389A",3890001,"intact",471556,5071091,NA,NA,NA,NA
"134A",1340001,"historic",476644,5076211,NA,NA,NA,NA
"134B",1340002,"historic",476578,5075998,NA,NA,NA,NA
"358A",3580001,"historic",476787,5081060,NA,NA,NA,NA
"120A",1200001,"historic",491784,5079800,NA,NA,NA,NA
"264A",2640001,"intact",481438,5082150,NA,NA,NA,NA
"185C",1850003,"intact",429112,5053651,NA,NA,NA,NA
"185A",1850001,"historic",427983,5053910,NA,NA,NA,NA
"185B",1850002,"historic",428322,5054940,NA,NA,NA,NA
"280A",2800001,"intact",440603,5059187,NA,NA,NA,NA
"092D",920004,"historic",450311,5058819,NA,NA,NA,NA
"092B",920002,"historic",453032,5061097,NA,NA,NA,NA
"092E",920005,"historic",454342,5064381,NA,NA,NA,NA
"092F",920006,"historic",455177,5064074,NA,NA,NA,NA
"092C",920003,"historic",455000,5064405,NA,NA,NA,NA
"092G",920007,"historic",455114,5064660,NA,NA,NA,NA
"092A",920001,"historic",454999,5068340,NA,NA,NA,NA
"088F",880006,"intact",494729,5078396,NA,NA,NA,NA
"088A",880001,"historic",495489,5078010,NA,NA,NA,NA
"088D",880004,"historic",495312,5077900,NA,NA,NA,NA
"088G",880007,"historic",496380,5077532,NA,NA,NA,NA
"088E",880005,"historic",496231,5077500,NA,NA,NA,NA
"088C",880003,"historic",497035,5078946,NA,NA,NA,NA
"461A",4610001,"intact",514903,5066218,NA,NA,NA,NA
"087B",870002,"historic",517108,5068720,NA,NA,NA,NA
"087A",870001,"historic",517752,5069180,NA,NA,NA,NA
"248A",2480001,"historic",539258,5064280,NA,NA,NA,NA
"248B",2480002,"intact",540034,5064660,NA,NA,NA,NA
"177A",1770001,"historic",437946,5044756,NA,NA,NA,NA
"177B",1770002,"intact",438930,5044860,NA,NA,NA,NA
"177C",1770003,"historic",440124,5045150,NA,NA,NA,NA
"551A",5510001,"historic",449912,5040673,NA,NA,NA,NA
"209C",2090003,"intact",459092,5045117,NA,NA,NA,NA
"209A",2090001,"historic",459070,5045060,NA,NA,NA,NA
"209B",2090002,"historic",459752,5046340,NA,NA,NA,NA
"113B",1130002,"historic",485486,5034281,NA,NA,NA,NA
"113A",1130001,"historic",486548,5033211,NA,NA,NA,NA
"516A",5160001,"historic",475354,5090410,NA,NA,NA,NA
"182A",1820001,"intact",431739,5086020,NA,NA,NA,NA
"552A",5520001,"intact",431844,5106632,NA,NA,NA,NA
"163A",1630001,"historic",450804,5120419,NA,NA,NA,NA
"163B",1630002,"historic",450799,5120238,NA,NA,NA,NA
"163C",1630003,"intact",451029,5120210,NA,NA,NA,NA
"163D",1630004,"historic",451642,5119240,NA,NA,NA,NA
"091A",910001,"historic",453110,5116023,NA,NA,NA,NA
"091B",910002,"historic",452900,5115590,NA,NA,NA,NA
