"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","157B","157","Yes",2014,2014,2014,1989,"Crow Island","","coastal","Hancock","ME","C","","dominant","",520768,4899190,-68.7398881926337,44.2456488629966
"","","159A","159","Yes",2014,2014,2014,1988,"","","interior","Penobscot","ME","B","","dominant","",482786,4967830,-69.217893311488,44.8636777721853
"","","161C","161","Yes",2013,2013,2013,2013,"Boyden Lake mid-southern shoreline","","interior","Washington","ME","C","","dominant","",646209.6476,4985612.375,-67.1446212070034,45.0088891855262
"","","163C","163","Yes",2013,2013,2013,1990,"","","interior","Piscataquis","ME","E","","","",451029,5120210,-69.6351159830672,46.2337025976354
"","","164C","164","Yes",2013,2013,2013,2001,"The Rim vicinity","","coastal","Washington","ME","C","","","",627026.928806,4953457.57407,-67.3960014899081,44.7232363640486
"","","165E","165","Yes",2013,2013,2013,2013,"Treat Island","","coastal","Washington","ME","C","","dominant","",658654.1768,4971570.898,-66.9912076492895,44.8798914762028
"","","166B","166","Yes",2014,2014,2014,1994,"","","coastal","Hancock","ME","C","","","",519231.733296,4930891.3892,-68.7579558989797,44.5310927999486
"","","167D","167","Yes",2013,2013,2013,2007,"Eagle Island","","coastal","Washington","ME","C","","","",598905.98854,4928585.49334,-67.7557850764142,44.5038125947444
"","","168D","168","Yes",2013,2013,2013,2005,"Ram Island","","coastal","Sagadahoc","ME","A","","","",435831.546,4853954.29,-69.7981658092835,43.835880590103
"","","169E","169","Yes",2013,2013,2013,2003,"Jed Island","","coastal","Hancock","ME","C","","","",540904.348402,4917643.82029,-68.4862470300089,44.4109291440794
"","","171G","171","Yes",2013,2013,2013,2013,"","","coastal","Washington","ME","C","","dominant","",642810.177657,4973244.2519,-67.1912382777805,44.8982995832962
"","","172B","172","Yes",2013,2013,2013,2013,"","","interior","Penobscot","ME","F","","dominant","",542702.8705,5003824.9526,-68.4564231302155,45.1866145310587
"","","173D","173","Yes",2013,2013,2013,2004,"","","interior","Piscataquis","ME","G","","supercanopy","",476993.806,5142129.312,-69.2994545715797,46.4323444551555
"","","174C","174","Yes",2013,2013,2013,2013,"Birch Island","","interior","Penobscot","ME","F","","dominant","",524522.8168,5025358.4916,-68.6867725770759,45.3813122562287
"","","175B","175","Yes",2013,2013,2013,1999,"Sand Island","","interior","Piscataquis","ME","F","","dominant","",507584,5036820,-68.9029530281343,45.4848683126572
"","","177B","177","Yes",2014,2014,2014,1994,"","","interior","Somerset","ME","E","","dominant","",438930,5044860,-69.7824350030607,45.5545987476299
"","","178D","178","Yes",2014,2014,2014,2003,"Pleasant Point","","coastal","Sagadahoc","ME","A","","dominant","",429428.696013,4868965.60719,-69.8797875674048,43.9704375670144
"","","179F","179","Yes",2013,2013,2013,2006,"Hardwood Island","","coastal","Knox","ME","C","","","",526718.501404,4884111.90292,-68.6661282789159,44.1097056120007
"","","180D","180","Yes",2013,2013,2013,2013,"","","coastal","Washington","ME","C","","dominant","",625982.8144,4940008.4879,-67.4124878448578,44.6023925252127
"","","181F","181","Yes",2014,2014,2013,2013,"","","interior","Piscataquis","ME","E","","dominant","",458620.4038,5119668.9034,-69.5366186736921,46.2293374873652
"","","182A","182","Yes",2013,2013,2013,1989,"","","interior","Somerset","ME","E","","","",431739,5086020,-69.8803592194439,45.9243582425103
"","","183B","183","Yes",2013,2013,2013,2006,"Parker Head","","coastal","Washington","ME","C","","","",615862.883017,4937073.81889,-67.54062746408,44.5776827035344
"","","184B","184","Yes",2013,2013,2013,1995,"","","interior","Penobscot","ME","F","","","",527934,4995230,-68.644896370713,45.1099869335796
"","","185C","185","Yes",2013,2013,2013,2007,"","","interior","Somerset","ME","E","","","",429112.032,5053651.237,-69.9094861648391,45.6327878237117
"","","186B","186","Yes",2014,2014,2013,1999,"Gero Island","","interior","Piscataquis","ME","E","","","",470419.082307,5104341.26469,-69.382657754702,46.0920062287307
"","","189F","189","Yes",2013,2013,2013,2011,"","","interior","Washington","ME","C","","","",583250.930599,5020312.67047,-67.9375786111092,45.3313810833182
"","","190F","190","Yes",2013,2013,2013,2010,"","","interior","Penobscot","ME","F","","dominant","",547760.207588,5044968.59795,-68.3880696275146,45.5566168903101
"","","191D","191","Yes",2013,2013,2013,2010,"Crow Island","","coastal","Knox","ME","B","","dominant","",493439.10523,4868541.13275,-69.0817918454984,43.9699735830269
"","","192C","192","Yes",2014,2014,2014,2011,"","","coastal","Lincoln","ME","B","","dominant","",439446.464004,4886984.598,-69.756974749996,44.1335493889023
"","","193E","193","Yes",2013,2013,2013,2010,"West Barred Island","","coastal","Hancock","ME","C","","","",513234.568829,4901474.89867,-68.8341834353007,44.2663958324427
"","","194B","194","Yes",2013,2013,2013,1992,"Pope Folly Island","","coastal","Washington","ME","C","","","",659272,4970280,-66.9837956632365,44.868140025232
"","","195B","195","Yes",2013,2013,2013,1997,"Hardwood Island","","coastal","Washington","ME","C","","","",606479,4929880,-67.6602763980677,44.5143860649212
"","","196B","196","Yes",2013,2013,2013,2005,"Toms Island","","coastal","Washington","ME","C","","","",605142.581,4926294.378,-67.6778164152437,44.4823103035498
"","","197H","197","Yes",2013,2013,2013,2003,"Burying Island","","coastal","Hancock","ME","C","","","",558465.359976,4933224.66515,-68.2639370715887,44.5499830765892
