PK_NestSite,IntactDuringLastYearObs.,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,County,IFWRegion,Species,TreeCondition,NestTreeStandProminence,NestTreeComments,nest_id,Accuracy,Type,UseID,UTM_long,UTM_lat
017D,No,17,Sheep Island,2013,1998,1998,1997,,coastal,Knox,B,red spruce,,,,017D,12,A,IO,516314,4892050
017E,Yes,17,Sheep Island,2013,2013,2010,1999,,coastal,Knox,B,red spruce,,,,017E,12,A,ER,516334,4892022
017F,Yes,17,Sheep Island,2013,2013,2013,2011,,coastal,Knox,B,northern red oak,alive - top intact,dominant,,017F,12.5,A,ER,516454,4891970
020A,No,20,Mills Point,2013,1978,1974,1963,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,020A,12,A,IO,520456,4918850
020B,No,20,Sam's Island,2013,2005,2003,1970,,coastal,Hancock,C,red spruce,alive - top intact,dominant,,020B,12,A,IO,521195,4919550
020C,No,20,Mills Point,2013,1970,1967,1967,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,020C,12,A,IO,520270,4918970
020D,No,20,Sam's Island,2013,1989,1989,1983,,coastal,Hancock,C,northern red oak,alive - top intact,dominant,,020D,12,A,IO,521212,4919495
020E,Yes,20,Mills Point,2013,2013,2013,2001,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,020E,12.5,A,ER,520460,4918770
021B,No,21,Bear Head vicinity,2013,1998,1997,1973,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,021B,12,A,IO,525042,4915124
021C,No,21,Ram Island,2013,1981,NA,1974,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,northern red oak,alive - top intact,co-dominant,,021C,12,A,IO,525356,4914840
021D,Yes,21,Ram Island,2013,2013,2011,1990,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,021D,12,A,ER,525340,4914850
021E,Yes,21,Ram Island,2013,2013,2013,2013,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,021E,12.5,A,ER,525323,4914864
022A,Yes,22,Carleton Island vicinity islet,2013,2013,2013,1978,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,022A,12,A,ER,533612,4910704
023C,No,23,Crow Island,2013,2000,2000,1995,,coastal,Hancock,C,red spruce,dead - top broken,dominant,,023C,12,A,IO,551229,4886878
023G,Yes,23,Crow Island,2013,2013,2013,2009,,coastal,Hancock,C,red spruce,alive - top intact,dominant,,023G,8.5,A,ER,551241,4886921
023H,Yes,23,Crow Island,2013,2013,NA,2013,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,red spruce,alive - top broken,dominant,,023H,12.5,A,ER,551290,4886982
024A,No,24,Placentia Island,2013,2006,2006,1964,,coastal,Hancock,C,white spruce,alive - top intact,dominant,"Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",024A,12,A,IO,550296,4892232
024C,No,24,Placentia Island,2013,1963,1963,1962,,coastal,Hancock,C,red spruce,alive - top broken,dominant,"Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",024C,12,A,IO,550093,4892239
024D,Yes,24,Placentia Island,2013,2013,2013,2007,,coastal,Hancock,C,red spruce,,dominant,,024D,10,A,ER,550272,4892253
025A,No,25,Bass Harbor Marsh upland,2013,1983,1965,1962,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,025A,12,A,IO,551647,4901262
025B,No,25,Bass Harbor Marsh,2013,1983,NA,1977,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,Nest tree leader is dead above nest level.,025B,12,A,IO,552239,4900845
025C,No,25,Buttermilk Brook upland,2013,1986,1980,1977,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,Nest tree leader is dead above nest level.,025C,12,A,IO,552056,4902480
026A,No,26,Bar Island,2013,1993,1979,1969,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,026A,12,A,IO,553890,4911675
026B,No,26,Little Round Pond shoreline,2013,1986,1977,1972,,interior,Hancock,C,eastern white pine,alive - top intact,supercanopy,,026B,12,A,IO,550497,4912799
026C,No,26,Somes Pond shoreline - Oak Hill vicinity,2013,1996,1991,1978,,interior,Hancock,C,eastern white pine,alive - top intact,supercanopy,,026C,12,A,IO,551555,4912160
026D,No,26,Somes Pond inlet vicinity,2013,1970,1966,1966,,interior,Hancock,C,eastern white pine,alive - top intact,supercanopy,,026D,12,A,IO,551701,4913488
026E,No,26,Bar Island,2013,2009,2009,1992,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,026E,12,A,IO,554009,4911604
026F,Yes,26,Bar Island,2013,2013,2013,2011,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,026F,12.5,A,ER,553946,4911617
027A,Yes,27,Bartlett Island - Western Point vicinity,2013,2013,2013,1978,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,027A,12,A,ER,544129,4910658
028A,No,28,Blunts Point,2013,1983,1972,1965,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,"Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",028A,12,A,IO,553073,4919211
028B,No,28,Northeast Creek Meadow island,2013,1996,1987,1976,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,028B,12,A,IO,555376,4918916
028C,No,28,Northeast Creek Meadow island,2013,1985,NA,1977,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,028C,12,A,IO,555287,4918768
028D,Yes,28,South Twinnie Island,2013,2013,2013,1988,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,028D,12,A,ER,552866,4920090
029A,No,29,Black Point vicinity upland,2013,1999,1999,1977,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,029A,12,A,IO,544125,4931192
029B,No,29,Black Point vicinity upland,2013,1963,NA,1963,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,029B,12,A,IO,544493,4931400
029C,No,29,Black Point vicinity upland - Meadow Brook,2013,1964,1964,1964,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,029C,12,A,IO,543593,4930550
029D,No,29,Black Point vicinity upland - Meadow Brook,2013,1966,1965,1965,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,029D,12,A,IO,543720,4930640
029E,No,29,Black Point vicinity upland - Cushmans Meadow,2013,1987,1966,1966,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,Nest tree leader is dead above nest level.,029E,12,A,IO,544011,4928990
029F,No,29,Black Point vicinity upland,2013,1995,1994,1994,,coastal,Hancock,C,eastern white pine,alive - top intact,,,029F,12,A,IO,544331,4931328
029G,No,29,Black Point vicinity upland,2013,2003,2002,2000,,coastal,Hancock,C,eastern white pine,alive - top intact,,,029G,12,A,IO,544586,4930789
029H,Yes,29,Black Point vicinity upland,2013,2013,2013,2003,,coastal,Hancock,C,eastern white pine,alive - top intact,,,029H,12,A,ER,544299,4930699
030A,No,30,Poplar Knoll,2013,1980,1982,1977,,interior,Hancock,C,paper birch,alive - top intact,dominant,,030A,12,A,IO,549531,4947520
030B,No,30,Poplar Knoll,2013,2004,2002,1983,,interior,Hancock,C,northern red oak,alive - top intact,dominant,,030B,12,A,IO,549463,4947630
030C,Yes,30,Poplar Knoll,2013,2013,2013,2004,,interior,Hancock,C,eastern white pine,alive - top intact,supercanopy,,030C,12,A,ER,549526,4947276
031E,No,31,Hills Island,2013,2010,1995,1988,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.,031E,12,A,IO,557853,4929520
031F,Yes,31,Hills Island,2013,2013,2011,1995,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,031F,12,A,ER,557860,4929630
031G,Yes,31,Hills Island,2013,2013,2013,2012,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,031G,12.5,A,ER,557860,4929557
032A,No,32,Eagle Point,2013,1982,1976,1973,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,032A,12,A,IO,555012,4929720
032B,No,32,Eagle Point,2013,1984,NA,1976,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,032B,12,A,IO,555042,4929690
032C,No,32,Seal Point vicinity,2013,1987,1987,1977,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,032C,12,A,IO,556509,4928120
032D,No,32,Partridge Cove upland,2013,1981,NA,1977,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top broken,supercanopy,,032D,12.5,A,IO,556372,4927460
032E,No,32,Stewart Island,2013,2005,2005,1996,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,032E,12,A,IO,555181,4930809
032F,Yes,32,Stewart Island,2013,2013,2013,2006,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,032F,8.5,A,ER,555098,4930812
033B,No,33,Butler Point,2013,1974,NA,1972,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,033B,12,A,IO,557570,4934480
033E,No,33,Egypt Bay shoreline,2013,1996,1994,1979,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,033E,12,A,IO,556538,4933793
033G,No,33,Egypt Bay shoreline,2013,1991,1988,1984,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,033G,12,A,IO,556902,4933651
033I,Yes,33,Butler Point,2013,2013,2011,1995,,coastal,Hancock,C,northern red oak,alive - top intact,dominant,,033I,12,A,ER,557915,4934358
034A,No,34,Creasey Cove upland,2013,1982,1974,1966,,coastal,Hancock,C,eastern white pine,dead - top intact,dominant,,034A,12,A,IO,560467,4935680
034B,No,34,Hog Bay shoreline,2013,1974,NA,1968,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,034B,12,A,IO,560756,4936460
