FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3290,Point_4179,5,Animal Location,4050,4050,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],348A,515729.4848,5168061.441
,3291,Point_4180,12,Animal Location,4052,4052,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],367A,515544.8235,5162343.222
,3292,Point_4181,10,Animal Location,4051,4051,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],348B,515481.4,5167932.65
,3293,Point_4182,10,Animal Location,4053,4053,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],603A,460145.9391,5223132.613
,3294,Point_4183,10,Animal Location,4054,4054,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],603B,460326.2244,5221858.06
,3295,Point_4184,12,Animal Location,4055,4055,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],364A,437459,5179270
,3296,Point_4185,4,Animal Location,4056,4056,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],364B,437505.975,5179785.406
,3297,Point_4186,10,Animal Location,4057,4057,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],548A,455262.588,5180717.09
,3298,Point_4187,10,Animal Location,4058,4058,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],585A,479229.993,5178176.688
,3299,Point_4188,12,Animal Location,4059,4059,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],216C,471750,5158406
,3300,Point_2084,12,Animal Location,2084,2084,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],216A,473935,5157730
,3301,Point_2186,12,Animal Location,2186,2186,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],216B,474024,5157410
,3302,Point_2263,12,Animal Location,2263,2263,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],279A,487280,5159330
,3303,Point_2294,12,Animal Location,2294,2294,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],279B,486400.4077,5156598.235
,3304,Point_2182,12,Animal Location,2182,2182,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],139B,490656.0758,5155249.888
,3305,Point_1901,12,Animal Location,1901,1901,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],139A,491687.7141,5154972.008
,3306,Point_4189,12,Animal Location,4060,4060,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],279C,487782.5293,5158433.621
,3307,Point_4190,10,Animal Location,4061,4061,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],139C,491321.1935,5155518.25
