"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"160","198D","198",4885993,545965,"Yes",2003,"2013",2013,2013,"Inner Baker Island","","coastal","Hancock"
"161","199D","199",4963269,523280,"Yes",2011,"2014",2014,2014,"","","interior","Penobscot"
"162","200A","200",5005730,580573,"Yes",1991,"2013",2013,2013,"Big Island","","interior","Washington"
"163","201A","201",4914631,547717,"Yes",1992,"2013",2013,2013,"Black Island","","coastal","Hancock"
"164","202D","202",4851874,415826,"Yes",1999,"2013",2013,2013,"Williams Island","","coastal","Cumberland"
"165","203B","203",4951370,467164,"Yes",1999,"2013",2013,2013,"","","interior","Waldo"
"166","204B","204",4865803,428558,"Yes",1993,"2014",2014,2014,"West Freyee Island","","coastal","Sagadahoc"
"167","205C","205",5018393,558173,"Yes",2009,"2013",2013,2013,"","","interior","Penobscot"
"168","207F","207",5207670,548543,"Yes",2013,"2013",2013,2013,"","","interior","Aroostook"
"169","209C","209",5045117,459091,"Yes",2003,"2013",2013,2013,"Mud Pond island","","interior","Piscataquis"
"170","210D","210",4912032,518022,"Yes",1998,"2013",2013,1998,"","","coastal","Hancock"
"171","211D","211",4945765,643164,"Yes",2010,"2013",2013,2013,"Little River Island","","coastal","Washington"
"172","212C","212",4874908,450436,"Yes",2013,"2013",2013,2013,"","","coastal","Lincoln"
"173","213A","213",5009476,528843,"Yes",1993,"2013",2013,2013,"","","interior","Penobscot"
"174","214D","214",5052586,531844,"Yes",2000,"2013",2013,2013,"","","interior","Penobscot"
"175","215D","215",4883141,534113,"Yes",2010,"2013",2013,2013,"Fog Island","","coastal","Knox"
"176","216C","216",5158406,471750,"Yes",2007,"2013",2013,2013,"Umsaskis Lake upland","","interior","Aroostook"
"177","217C","217",4860677,453879,"Yes",2004,"2013",2013,2013,"Hodgdon Island","","coastal","Lincoln"
"178","218A","218",4968927,648500,"Yes",1993,"2013",2013,2013,"Inner Talbot Island","","coastal","Washington"
"179","219B","219",4961490,338830,"Yes",1994,"2013",2013,2013,"","","interior","Oxford"
"180","220B","220",4950254,512515,"Yes",2003,"2013",2013,2013,"Penobscot River shoreline","","coastal","Penobscot"
"181","222D","222",4968676,621135,"Yes",2006,"2013",2013,2013,"Rocky Lake islet","","interior","Washington"
"182","224C","224",4943200,638795,"Yes",2002,"2013",2013,2013,"Cape Wash Island","","coastal","Washington"
"183","225B","225",4977094,354759,"Yes",2011,"2013",2013,2013,"Shelter Island","","interior","Oxford"
"184","226D","226",5213391,550108,"Yes",2013,"2013",2013,2013,"","","interior","Aroostook"
"185","227C","227",5223550,555464,"Yes",2002,"2013",2013,2013,"","","interior","Aroostook"
"186","228F","228",5186594,538117,"Yes",2013,"2013",2013,2013,"","","interior","Aroostook"
"187","229G","229",4896564,532611,"Yes",2012,"2013",2013,2012,"Little Bear Island","","coastal","Hancock"
"188","230B","230",4891173,346507,"Yes",2012,"2013",2013,2013,"","","interior","Oxford"
"189","231E","231",4974856,459182,"Yes",2013,"2013",2013,2013,"Round Island","","interior","Somerset"
"190","232C","232",4949040,632231,"Yes",2013,"2013",2013,2013,"Hog Island","","coastal","Washington"
"191","233A","233",4983289,650833,"Yes",1994,"2013",2013,2013,"Boyden Stream upland","","coastal","Washington"
"192","234A","234",5009610,589704,"Yes",1994,"2013",2013,2013,"Columbus Island","","interior","Washington"
