PK_NestSite,UTM_Long,UTM_Lat
150B,541016,4894230
150C,540763,4894320
150D,540752,4894280
151A,546374.8386,5034385.908
151B,546055.1522,5035065.929
152B,540624,4885690
152C,540600,4885660
152D,540686,4885740
152E,540640,4885620
152F,540642.4413,4885655.639
153C,612916,4930740
153D,613722,4930210
153E,613683.6713,4930224.413
154B,536123.0583,5024362.792
154C,535594,5023630
154E,536890.895,5024472.812
155A,466106.9716,4868042.184
155B,467056.0336,4868427.157
155C,465765,4869010
155D,465911,4869120
155E,465931.0367,4867816.202
156A,391519,5008350
156B,389338.6638,5006623.605
156D,389573.9873,5007434.55
156E,389263.2893,5008017.503
156G,NA,NA
157A,519970,4899010
157B,520768,4899190
157C,519796.3598,4899168.098
158A,604803.185,4934340.336
159A,482786,4967830
159B,484534.1194,4967191.623
159C,481471.9924,4968876.879
160A,618406.346,4968793.757
161A,646198.7268,4985826.546
161B,646537.174,4986561.794
161C,NA,NA
162A,629336.2732,4939937.443
162B,629497,4939810
162C,629459.08,4939788.609
162D,629348.3786,4939722.132
163A,450803.6898,5120418.724
163B,450798.9241,5120238.235
163C,451029,5120210
163D,451642,5119240
164A,626818,4953160
164B,626890.4781,4953284.633
164C,627026.9288,4953457.574
165A,658782,4971850
165B,658708,4971360
165C,658576.5554,4971549.206
165E,NA,NA
166A,519212.8193,4931045.19
166B,519231.7333,4930891.389
167A,598956.9529,4928604.465
167B,598948.4324,4928623.268
167C,598914.4079,4928634.488
167D,598905.9885,4928585.493
168A,435617.2585,4854497.913
168B,435483.9895,4854072.835
168C,435508.7643,4854126.941
168D,435831.546,4853954.29
169A,541486.0505,4916366.341
169B,540801,4917530
169C,540879,4917660
169D,540859,4917550
169E,540904.3484,4917643.82
170A,561168.387,4945802.529
170B,561030.4773,4945912.181
170C,560248.1888,4944771.315
171A,643703.0999,4972651.109
171D,643106.1812,4973235.735
171F,643428.6956,4972937.595
171G,642810.1777,4973244.252
172A,542694.1531,5003838.264
172B,NA,NA
173A,476700,5142230
173B,476717,5142310
173C,476930,5141780
173D,476993.806,5142129.312
174A,523828.4791,5027300.616
174B,525084.217,5026253.13
174C,NA,NA
175A,506387,5037150
175B,507584,5036820
176A,525077,5036850
176B,NA,NA
176C,NA,NA
177A,437946.2475,5044755.964
177B,438930,5044860
177C,440124,5045150
178A,429444,4868950
178C,429403,4868910
178D,429428.696,4868965.607
178E,429394.6548,4868945.337
179A,526684.9825,4883931.405
179B,526806.4574,4883980
179C,526246.9428,4883599.864
179D,526686.4392,4884065.365
179E,526220.6077,4883556.872
179F,526718.5014,4884111.903
180A,625500.2659,4940277.885
180B,625442.9198,4941191.662
180C,625768.8893,4939862.978
180D,NA,NA
181A,457706,5120950
181B,458990,5120460
181C,458303,5119490
181D,458599,5120350
181E,460024,5119750
181F,NA,NA
182A,431739,5086020
183A,615860.2059,4937141.741
183B,615862.883,4937073.819
184A,527873,4995100
184B,527934,4995230
185A,427983,5053910
185B,428322,5054940
185C,429112.032,5053651.237
186A,470457.2283,5104260.717
186B,470419.0823,5104341.265
187A,583217.0559,4916525.982
187B,583276.0289,4916555.492
187C,583251.6596,4916586.997
187D,583207.1727,4916616.339
187E,583167.5853,4916594.776
188A,577992.6021,4943283.153
189A,584938.2915,5019603.776
189B,584891.5074,5019513.614
189C,583705.7153,5020231.906
189D,583715.1101,5020212.477
189E,583715.8601,5020222.533
189F,583250.9306,5020312.67
190A,546806.0126,5045232.042
190B,546439.2161,5044938.011
190C,546920.4089,5044927.598
190D,546994.6537,5045028.575
190E,546908.3723,5044988.165
190F,547760.2076,5044968.598
191A,493443,4868500
191B,493464.6334,4868473.209
191C,493633.14,4869249.904
191D,493439.1052,4868541.133
192A,439086,4887330
192B,439070,4887360
192C,439446.464,4886984.598
193A,513864,4900640
193B,513716,4900850
193C,513646.15,4900886.513
193D,513521.796,4901559.879
193E,513234.5688,4901474.899
194A,659242,4970280
194B,659272,4970280
195A,606453,4929690
195B,606479,4929880
196A,605144.1759,4926256.176
196B,605142.581,4926294.378
197A,558988.8178,4933939.269
197B,557861.9895,4932515.307
197C,558277,4933250
197D,557830,4932420
197E,558672.8928,4931831.944
197F,556861.7933,4932594.378
197G,558395,4933120
197H,558465.36,4933224.665
198A,545988.7529,4886019.885
198B,545901.4133,4885999.113
198C,545965.2167,4885997.838
198D,545965.3556,4885993.093
199A,523145,4962960
199B,523419,4963250
199C,523142.0457,4962981.437
199D,523280.7047,4963269.064
200A,580573,5005730
201A,547717.1182,4914631.044
201B,547760,4914400
202A,414585.2927,4850895.94
202B,415789.2867,4851728.951
202C,415553.4941,4851469.669
202D,415826.4779,4851874.104
203A,470554,4954470
203B,467164.9502,4951370.053
204A,427336.0852,4866740.256
204B,428558.4702,4865803.515
204C,429153,4865980
205A,558179.6423,5018336.183
205B,558712.7408,5017712.472
205C,558173.702,5018393.458
206A,645948.7295,4996428.966
207A,549221.1315,5206215.445
207C,548517,5207710
207D,548628,5207540
207E,548736.783,5207359.863
207F,NA,NA
208A,549463.9329,5041031.082
209A,459070,5045060
209B,459752,5046340
209C,459091.844,5045117
210A,516062.3726,4911743.081
210B,515921,4912080
210C,514846,4912620
210D,518022.8076,4912032.465
210E,515721.4872,4912598.562
210F,514861.1815,4912592.657
211A,643179,4945820
211B,643188,4945830
211C,643219.9424,4945810.051
211D,643164.5474,4945765.154
212A,450212.2391,4877064.895
212B,450332.0001,4875479.407
212C,NA,NA
213A,528843.3422,5009476.401
214A,533864.3082,5051513.603
214B,529115,5053840
214D,531844.74,5052586.668
215A,534058,4882850
215B,534048,4882700
215C,534108,4882750
215D,534113.7105,4883141.088
216A,473935,5157730
216B,474024,5157410
216C,471750,5158406
217A,453869,4860630
217B,453367,4861470
217C,453879.59,4860677.519
218A,648500.6754,4968927.848
219A,336737.621,4961432.871
219B,338830,4961490
220A,513440,4950010
220B,512515.344,4950254
221A,564174.3706,4955769.621
221B,562281.2047,4958321.444
221C,562264.4458,4958421.246
222A,622437.2052,4968908.678
222B,622312,4969220
222C,622446,4969100
222D,621135.9828,4968676.69
222E,621326.6927,4971029.395
223A,652919.5378,4979632.332
223B,652588.0627,4981704.188
224A,638886,4943100
224B,638818,4943100
224C,638795,4943200
225A,354685.1569,4977031.257
225B,354759,4977094
226A,550378.6696,5213670.235
226C,550288.5043,5213382.94
226D,NA,NA
227A,554484.5788,5222066.423
227B,555536,5223410
227C,555464,5223550
228A,536339,5186080
228B,537544,5186040
228C,536367,5186327
228D,537357.766,5186186.654
228E,537310.01,5181086.034
228F,NA,NA
229B,532896,4896490
229C,533266,4896380
229E,532613.3592,4896541.967
229F,532902.266,4896361.55
229G,NA,NA
230A,345344.4148,4889350.975
230B,346507.972,4891173.845
231A,459145.1883,4974842.384
231B,459371.2202,4974279.703
231C,457894.539,4974569.114
231D,457685.3699,4975094.619
231E,NA,NA
232A,632183,4949110
232B,632243,4949120
232C,NA,NA
233A,650833.0098,4983289.554
234A,589704,5009610
235A,485095,5140780
235B,485311,5143210
235C,485473,5143339
236A,525673.0699,5053904.37
236C,525328.0098,5052514.353
236D,524899.786,5051810.812
237A,467821,4861880
238A,484135,4870200
238B,484111.849,4870212.568
239A,561017,4978060
239B,561022,4978010
240A,447384,4864690
240B,446899.179,4863163.443
240C,446788.845,4863291.715
241A,560203.9914,4919077.194
242A,592294,4933420
242B,592470.7799,4932978.361
243A,594918.1533,4933385.624
244A,435151,4922940
244B,434628.1022,4923485.6
244C,436278.422,4924729.01
245A,507542,5053210
245B,505551.805,5052697.088
246A,543790.5633,4906505.709
246B,543899.2505,4906443.116
246C,543730.9538,4906821.344
247A,561285.3006,5224981.604
248A,539258,5064280
248B,540034,5064660
249A,445369.6202,4856277.797
249B,445210.4932,4854657.878
249C,445226,4854560
249D,445307.931,4854714.769
250A,506090,4909220
250B,506078.489,4909118.743
251A,455515.6383,4935138.441
251B,455439,4935040
251C,455996.17,4934985.365
251D,455926.234,4934949.843
251E,NA,NA
252A,350469.296,4968750.269
252B,350985,4970270
252C,352427.2874,4971394.461
252D,353097.228,4970281.612
252E,354631,4970747
252F,354274.5415,4970429.647
253A,496313.1571,4879400.798
253B,496172.6217,4878851.081
254A,562593,4901320
254B,562567,4901240
254C,560224,4899330
254D,560096,4899340
254E,559855,4899600
254F,560182,4899390
254G,NA,NA
255A,580466,4973480
256A,609293.6722,5009579.995
256B,609058.7682,5011143.137
256C,610148,5007880
256D,610307,5008930
257A,424531.2496,4854356.647
257B,423730.4833,4854463.888
258A,577161.9716,5017849.864
258B,578026.8156,5018359.482
259A,605430,5007360
259B,605507,5007330
259C,604339.323,5005188.876
259D,NA,NA
260A,612211,5010860
260B,610915.618,5012877.911
261A,550499.4692,4899638.736
262A,445339,4924220
262B,445135.689,4924313.617
262C,445217.3799,4924264.995
263A,646778.0089,4964670.825
263B,645831.245,4964517.839
263C,NA,NA
264A,481438,5082150
265A,609786.2495,4924099.798
265B,NA,NA
266A,627829.952,5000200.697
266B,628353.6448,4999664.076
267A,591049.4525,4919884.108
267B,591111.1354,4919733.854
268A,408592.9374,4849861.445
268B,409592,4849530
268C,409271.589,4849369.794
269A,548895,5042920
269B,549041,5042790
269C,548377.6389,5043091.204
270A,472830.5162,4940946.903
270B,472840.3483,4940891.387
270C,474824.874,4943001.683
270D,474790.0749,4943047.47
270E,474164.4864,4942957.062
270F,474395.5871,4942317.665
271A,500731.8589,4931440.824
271B,500849.8431,4931387.492
