OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2792,Point_3869,10.00000000000,Animal Location,3870,3870,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],431A,446111.46691600000,4870678.74720000000
2793,Point_3870,8.50000000000,Animal Location,3871,3871,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],563A,445580.59375500000,4868615.10020000000
2794,Point_1598,12.00000000000,Animal Location,1598,1598,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],012A,437276.00000000000,4867320.00000000000
2795,Point_1599,12.00000000000,Animal Location,1599,1599,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],012B,438546.00000000000,4866650.00000000000
2796,Point_3871,12.00000000000,Animal Location,3872,3872,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],351A,435312.80474800000,4866115.55151000000
2797,Point_1597,12.00000000000,Animal Location,1597,1597,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],011A,433322.09368200000,4866804.14097000000
2798,Point_1590,12.00000000000,Animal Location,1590,1590,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],011D,433355.00000000000,4866870.00000000000
2799,Point_1596,12.00000000000,Animal Location,1596,1596,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],531C,432481.00000000000,4868860.00000000000
2800,Point_1595,12.00000000000,Animal Location,1595,1595,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],531B,433219.00000000000,4869290.00000000000
2801,Point_2312,12.00000000000,Animal Location,2312,2312,3811,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],011H,433819.00000000000,4867610.00000000000
2802,Point_2100,12.00000000000,Animal Location,2100,2100,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],011G,434031.00000000000,4867560.00000000000
2803,Point_2024,12.00000000000,Animal Location,2024,2024,464,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],011I,434039.00000000000,4867420.00000000000
2804,Point_1565,12.00000000000,Animal Location,1565,1565,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],011E,434042.00000000000,4867290.00000000000
