nest_id,nest_id_num,status,nest_long_utm,nest_lat_utm
540B,5400002,intact,460511,4941430
541A,5410001,intact,438886,4896173
541B,5410002,intact,438870,4896296
541C,5410003,intact,438945,4896197
542B,5420002,intact,601866,4944542
543A,5430001,intact,469856,4999095
544A,5440001,intact,503263,4897739
545A,5450001,intact,648746,4972978
546A,5460001,intact,575056,4929654
546B,5460002,intact,575419,4929348
547A,5470001,intact,388950,4824157
548A,5480001,intact,455263,5180717
549A,5490001,intact,373979,4826105
549B,5490002,intact,375304,4823904
550A,5500001,intact,562477,5062991
551B,5510002,intact,449854,5040669
552A,5520001,intact,431844,5106632
553A,5530001,intact,556115,4924422
554B,5540002,intact,529315,4888170
555C,5550003,intact,449139,4933533
556A,5560001,intact,464691,4859579
557A,5570001,intact,513551,4966938
558A,5580001,intact,450386,4884277
559A,5590001,intact,437773,4952093
560A,5600001,intact,389947,5048538
562B,5620002,intact,406134,4874788
563A,5630001,intact,445581,4868615
563B,5630002,intact,445597,4868637
564D,5640004,intact,611251,4930815
565A,5650001,intact,515367,4929788
566A,5660001,intact,358323,4980659
566B,5660002,intact,358904,4981502
567A,5670001,intact,341342,4962178
568A,5680001,intact,439803,4911066
569A,5690001,intact,652119,4976325
570A,5700001,intact,651520,4970999
571A,5710001,intact,658752,4963330
572A,5720001,intact,527627,4872373
572B,5720002,intact,527723,4872395
573A,5730001,intact,540970,4926333
574A,5740001,intact,552734,4891152
575A,5750001,intact,533486,4887442
576A,5760001,intact,633267,4941286
577A,5770001,intact,616901,4929813
578A,5780001,intact,484633,4878356
579A,5790001,intact,455915,4857548
580B,5800002,intact,428326,4893912
581A,5810001,intact,600557,4981321
582B,5820002,intact,517381,4887705
583A,5830001,intact,490995,4970743
584A,5840001,intact,529710,5002810
585A,5850001,intact,479230,5178177
586A,5860001,intact,380176,4932194
587B,5870002,intact,425140,4911164
587C,5870003,intact,423926,4910638
588A,5880001,intact,426916,4851833
588B,5880002,intact,426725,4851609
589A,5890001,intact,445650,4849175
589B,5890002,intact,445630,4849164
590A,5900001,intact,498926,5030479
591A,5910001,intact,441440,4931151
592A,5920001,intact,573459,4922775
593A,5930001,intact,601603,5004447
594A,5940001,intact,500675,5134840
595A,5950001,intact,523188,5145408
597A,5970001,intact,436707,4882003
598A,5980001,intact,625950,4952204
599A,5990001,intact,412438,4873668
600A,6000001,intact,359633,4771301
600B,6000002,intact,359581,4769522
601A,6010001,intact,439111,4889031
601B,6010002,intact,439426,4889608
602A,6020001,intact,476467,4864804
603A,6030001,intact,460146,5223133
603B,6030002,intact,460326,5221858
604A,6040001,intact,426981,4863862
605A,6050001,intact,654564,4967687
606B,6060002,intact,601480,4929770
607A,6070001,intact,438869,4879681
607B,6070002,intact,438677,4879402
608A,6080001,intact,616933,4928175
609A,6090001,intact,606061,4931714
610A,6100001,intact,497349,4921944
611A,6110001,intact,575402,5010626
612A,6120001,intact,583278,5008883
613A,6130001,intact,519692,5054270
614A,6140001,intact,503044,4940765
615A,6150001,intact,550432,5217642
616A,6160001,intact,554967,5232662
617A,6170001,intact,525288,4973332
618A,6180001,intact,438617,4885809
618B,6180002,intact,439246,4885844
619A,6190001,intact,542920,5022431
620A,6200001,intact,550435,5015512
621A,6210001,intact,458589,4882897
622A,6220001,intact,544975,5165203
623A,6230001,intact,599120,4934063
624A,6240001,intact,588135,4950268
625A,6250001,intact,421256,4862892
626A,6260001,intact,402074,4884096
627A,6270001,intact,545124,5033174
628A,6280001,intact,539025,5048771
629A,6290001,intact,542758,5011724
630C,6300003,intact,416854,4897700
631A,6310001,intact,559573,4936477
632B,6320002,intact,375798,4852054
633B,6330002,intact,550894,4886076
634A,6340001,intact,438536,4901216
635A,6350001,intact,445841,4926884
636A,6360001,intact,577795,4925586
637A,6370001,intact,420800,4853870
638A,6380001,intact,458451,4903768
639A,6390001,intact,454301,4868476
639B,6390002,intact,453732,4867307
640A,6400001,intact,564472,4924188
641A,6410001,intact,478663,4951027
642A,6420001,intact,535072,5107136
643A,6430001,intact,449115,4951464
644A,6440001,intact,404411,4841747
645A,6450001,intact,447999,4872252
646A,6460001,intact,549771,4909400
647A,6470001,intact,573833,5174749
648A,6480001,intact,484564,5012155
649A,6490001,intact,348127,4973684
650B,6500002,intact,457120,5080296
651A,6510001,intact,472569,5056511
652A,6520001,intact,535102,4914024
654B,6540002,intact,487604,4919868
656A,6560001,intact,420473,4857030
657A,6570001,intact,390704,4927467
658A,6580001,intact,590796,5015317
659A,6590001,intact,458034,5014408
660A,6600001,intact,493793,4890357
661A,6610001,intact,431593,4850361
662A,6620001,intact,427616,4841310
663A,6630001,intact,560812,4970378
664A,6640001,intact,626893,4968356
665A,6650001,intact,594184,4926349
666B,6660002,intact,534778,5022884
667A,6670001,intact,371811,4900893
668A,6680001,intact,568674,4982569
669A,6690001,intact,551261,4893084
670A,6700001,intact,508329,5011586
671A,6710001,intact,421775,4916764
672A,6720001,intact,535689,4904772
673A,6730001,intact,427054,4927801
675A,6750001,intact,438799,4964171
676A,6760001,intact,496469,4909768
677A,6770001,intact,418866,4854517
678A,6780001,intact,632592,4946904
679A,6790001,intact,576381,5162425
680A,6800001,intact,450876,4931770
681A,6810001,intact,410356,4840178
682A,6820001,intact,590538,5020151
683A,6830001,intact,354610,4984222
684A,6840001,intact,513196,4953887
685A,6850001,intact,478251,4900352
686A,6860001,intact,366041,4881423
