"","dates.QC","Field1","Plot.QA.QC","ObsID","SignProtection.","Landowner","PK_NestSite","IntactDuringLastYearObs.","FK_NestArea","NestSiteName","YearLastMonitored","YearLastNestIntact","YearLastEagleOccupancy","YearFirstMonitored","HistoryComments","LandscapeHabitat","EH","FK_Geocode","County","IFWRegion","State.Province","Species","DBH","DateSiteEvaluation","TreeCondition","NestTreeStandProminence","NestTreeComments","Former.MDIFW.nest..","EO.Code....","Former.USFWS.nest..","Former.NAS.nest..","Comments.nest...change","Former.USFWS.nest..1","Former.NAS.nest..1","Comments.nest...change1","Former.USFWS.nest..11","Former.NAS.nest..11","Comments.nest...change11","Edits.","nest_id","OBJECTID","PointID","Accuracy","Type","ObsID_1","EO_ID","Year","Month","Day","TimeStart","TimeEnd","UseID","ExtDB","ExtDBID","ExtJoinFie","ExtJoinVal","POINT_X","POINT_Y"
"33",TRUE,NA,TRUE,3884,"","","008J","Yes",8,"Swan Island - Shipyard Point vicinity",2013,2013,2010,2008,"","coastal","BE008J",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","008J",2968,"Point_4013",4,"Animal Location",3884,0,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","008J",436398.723891,4877455.38165
"34",FALSE,NA,FALSE,7471,"","","008K","No",0,"Swan Island - Farm Ponds vicinity",2013,2012,NA,2012,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","BE008K",23801,"Sagadahoc","B","ME","northern red oak",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","008K",5752,"Point_6066",12.5,"Animal Location",7471,-1,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","008K",436527.250244,4877830.94063
"35",TRUE,NA,TRUE,1586,"","","009A","No",9,"Twings Point Road shoreline",2013,1978,1990,1964,"","coastal","BE009A",23100,"Sagadahoc","B","ME","northern red oak",110.2,"6/3/1977","alive - top intact","supercanopy","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.","","ABNKC10010-027","14 (1972 - 1973); 11 (1974 - 1976)","SA-10 (< 1971)","",NA,NA,NA,NA,NA,NA,"","009A",2957,"Point_1586",12,"Animal Location",1586,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009A",435300,4874830
"36",TRUE,NA,TRUE,1587,"","","009B","No",9,"Abagdasset Point",2014,1979,1977,1962,"","coastal","BE009B",23040,"Sagadahoc","B","ME","eastern white pine",86.2,"5/31/1977","alive - top intact","supercanopy","","","ABNKC10010-028","13C (1972 - 1973); 12 (1974 - 1976)","SA-4 (< 1971)","",NA,NA,NA,NA,NA,NA,"","009B",2949,"Point_1587",12,"Animal Location",1587,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009B",433972.259624,4872804.2389
"37",TRUE,NA,TRUE,1588,"","","009C","No",9,"Twings Point Road shoreline",2013,1968,1963,1963,"","coastal","BE009C",23100,"Sagadahoc","B","ME","northern red oak",NA,"","alive - top intact","dominant","","","ABNKC10010-029","","SA-9 (< 1971)","",NA,NA,NA,NA,NA,NA,"","009C",2958,"Point_1588",12,"Animal Location",1588,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009C",435209,4874650
"38",TRUE,NA,TRUE,1589,"","","009D","No",9,"Chops Creek upland",2013,1970,1970,1968,"","coastal","BE009D",23100,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-030","","SA-9A (< 1971)","",NA,NA,NA,NA,NA,NA,"","009D",2956,"Point_1589",12,"Animal Location",1589,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009D",436420,4874320
"39",TRUE,NA,TRUE,3883,"","","009E","No",9,"Abagdasset Point",2014,2010,2010,2001,"","coastal","BE009E",23040,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","009E",2950,"Point_4012",12,"Animal Location",3883,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009E",433857.47085,4872719.07933
"40",TRUE,NA,TRUE,3882,"","","009F","No",9,"Abagdasset Point vicinity",2014,2008,NA,2001,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","BE009F",23040,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","009F",2948,"Point_4011",12,"Animal Location",3882,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","009F",433407.975,4873081.654
"41",TRUE,NA,TRUE,5832,"","","009G","Yes",9,"Abagdasset Point vicinity",2014,2014,2014,2011,"","coastal","BE009G",23040,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","009G",5376,"Point_5691",12.5,"Animal Location",5832,0,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","009G",433841.808363,4872680.87505
"42",TRUE,NA,TRUE,1593,"","","010A","No",10,"Bald Head",2013,1976,1979,1963,"","coastal","BE010A",23040,"Sagadahoc","B","ME","eastern white pine",53.3,"5/31/1977","dead - top broken","dominant","","","ABNKC10010-034","15 (1972 - 1973); 13 (1974 - 1976)","SA-7 (< 1971)","",NA,NA,NA,NA,NA,NA,"","010A",2953,"Point_1593",12,"Animal Location",1593,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","010A",431340,4871070
