project,project_num,name,faa_lit,long,lat,pad_elv_ft,strc_ht_ft,tot_elv_ft,model,hub_ht_m,airport,latitude,longitude
Stetson I,4,6,NONE,-67.98709324,45.49515422,946,389,1335,GE 1.5MW SLE,80,Houlton International,"45° 29' 42.22"" N","67° 59' 13.59"" W"
Stetson I,4,7,SFRL,-67.98674785,45.4972308,940,389,1329,GE 1.5MW SLE,80,Houlton International,"45° 29' 49.7"" N","67° 59' 12.35"" W"
Stetson I,4,8,NONE,-67.9852281,45.49909673,946,389,1335,GE 1.5MW SLE,80,Houlton International,"45° 29' 56.42"" N","67° 59' 6.88"" W"
Stetson I,4,9,NONE,-67.98492325,45.50108313,950,389,1339,GE 1.5MW SLE,80,Houlton International,"45° 30' 3.57"" N","67° 59' 5.78"" W"
Stetson I,4,10,NONE,-67.98473015,45.5033502,982,389,1371,GE 1.5MW SLE,80,Houlton International,"45° 30' 11.73"" N","67° 59' 5.09"" W"
Stetson I,4,11,SFRL,-67.98436581,45.50582167,980,389,1369,GE 1.5MW SLE,80,Houlton International,"45° 30' 20.63"" N","67° 59' 3.78"" W"
Stetson I,4,12,NONE,-67.98324272,45.50838788,950,389,1339,GE 1.5MW SLE,80,Houlton International,"45° 30' 29.87"" N","67° 58' 59.73"" W"
Stetson I,4,13,NONE,-67.98066443,45.51093007,1038,389,1427,GE 1.5MW SLE,80,Houlton International,"45° 30' 39.02"" N","67° 58' 50.45"" W"
Stetson I,4,14,SFRL,-67.97797429,45.51318334,1064,389,1453,GE 1.5MW SLE,80,Houlton International,"45° 30' 47.13"" N","67° 58' 40.76"" W"
Stetson I,4,15,NONE,-67.97865118,45.51524991,1058,389,1447,GE 1.5MW SLE,80,Houlton International,"45° 30' 54.57"" N","67° 58' 43.2"" W"
Stetson I,4,16,NONE,-67.97916457,45.51727079,994,389,1383,GE 1.5MW SLE,80,Houlton International,"45° 31' 1.85"" N","67° 58' 45.05"" W"
Stetson I,4,17,SFRL,-67.97837572,45.51990046,948,389,1337,GE 1.5MW SLE,80,Houlton International,"45° 31' 11.31"" N","67° 58' 42.21"" W"
Stetson I,4,18,NONE,-67.97752798,45.52230429,964,389,1353,GE 1.5MW SLE,80,Houlton International,"45° 31' 19.96"" N","67° 58' 39.16"" W"
Stetson I,4,19,NONE,-67.97682136,45.52447644,1052,389,1441,GE 1.5MW SLE,80,Houlton International,"45° 31' 27.78"" N","67° 58' 36.61"" W"
Stetson I,4,20,NONE,-67.9769343,45.52664766,1066,389,1455,GE 1.5MW SLE,80,Houlton International,"45° 31' 35.6"" N","67° 58' 37.02"" W"
Stetson I,4,21,SFRL,-67.97774748,45.52850118,988,389,1377,GE 1.5MW SLE,80,Houlton International,"45° 31' 42.27"" N","67° 58' 39.95"" W"
Stetson I,4,22,NONE,-67.977382,45.53036077,958,389,1347,GE 1.5MW SLE,80,Houlton International,"45° 31' 48.97"" N","67° 58' 38.63"" W"
Stetson I,4,23,NONE,-67.97765591,45.53290923,946,389,1335,GE 1.5MW SLE,80,Houlton International,"45° 31' 58.14"" N","67° 58' 39.62"" W"
