developer,project,turbine_id,model,hub_ht_m,rotor_diam,rotor_top,rotor_btm,pad_elev_m,sweep_top,sweep_btm,long,lat
Independence Wind,Record Hill,10,Siemens 93 2.3MW,80,93,127,34,627,753,660,-70.6315039,44.66515943
Independence Wind,Record Hill,11,Siemens 93 2.3MW,80,93,127,34,636,763,670,-70.63036497,44.66330222
Independence Wind,Record Hill,12,Siemens 93 2.3MW,80,93,127,34,654,781,688,-70.62781648,44.6613113
Independence Wind,Record Hill,13,Siemens 93 2.3MW,80,93,127,34,607,733,640,-70.63013323,44.65895779
Independence Wind,Record Hill,14,Siemens 93 2.3MW,80,93,127,34,616,743,650,-70.63032553,44.6568534
Independence Wind,Record Hill,15,Siemens 93 2.3MW,80,93,127,34,582,709,616,-70.63118974,44.65476636
Independence Wind,Record Hill,16,Siemens 93 2.3MW,80,93,127,34,562,688,595,-70.63263407,44.6526743
Independence Wind,Record Hill,17,Siemens 93 2.3MW,80,93,127,34,536,663,570,-70.63201763,44.65048912
Independence Wind,Record Hill,18,Siemens 93 2.3MW,80,93,127,34,554,681,588,-70.62907385,44.64225737
Independence Wind,Record Hill,19,Siemens 93 2.3MW,80,93,127,34,553,679,586,-70.62966556,44.64018244
Independence Wind,Record Hill,20,Siemens 93 2.3MW,80,93,127,34,564,691,598,-70.63030925,44.63808408
Independence Wind,Record Hill,21,Siemens 93 2.3MW,80,93,127,34,578,704,611,-70.63031908,44.63600537
Independence Wind,Record Hill,22,Siemens 93 2.3MW,80,93,127,34,604,730,637,-70.62764243,44.63372923
Patriot Renewables,Beaver Ridge,1,GE SLE 1.5MW,80,77,119,42,281,400,323,-69.33825977,44.49162924
Patriot Renewables,Beaver Ridge,2,GE SLE 1.5MW,80,77,119,42,256,374,297,-69.33505415,44.49648601
Patriot Renewables,Beaver Ridge,3,GE SLE 1.5MW,80,77,119,42,245,364,287,-69.33253432,44.49756578
Fox Islands Electric Cooperative,Fox Islands,1,GE SLE 1.5MW,80,"""rotor",119,42,54,173,96,-68.86695081,44.09475916
Fox Islands Electric Cooperative,Fox Islands,2,GE SLE 1.5MW,80,77,119,42,49,168,91,-68.86411655,44.09430137
Fox Islands Electric Cooperative,Fox Islands,3,GE SLE 1.5MW,80,77,119,42,53,171,94,-68.86630245,44.09256609
Transcanada,Kibby Mountain,1,Vestas V90 3MW,80,90,125,35,909,1034,944,-70.53777311,45.41044065
Transcanada,Kibby Mountain,2,Vestas V90 3MW,80,90,125,35,915,1040,950,-70.53677051,45.40798464
Transcanada,Kibby Mountain,3,Vestas V90 3MW,80,90,125,35,940,1065,975,-70.53685012,45.40542133
Transcanada,Kibby Mountain,4,Vestas V90 3MW,80,90,125,35,893,1018,928,-70.54378579,45.40070215
Transcanada,Kibby Mountain,5,Vestas V90 3MW,80,90,125,35,870,995,905,-70.54646084,45.39879528
Transcanada,Kibby Mountain,6,Vestas V90 3MW,80,90,125,35,863,988,898,-70.54894491,45.39668101
Transcanada,Kibby Mountain,7,Vestas V90 3MW,80,90,125,35,957,1082,992,-70.53653597,45.40287659
Transcanada,Kibby Mountain,8,Vestas V90 3MW,80,90,125,35,946,1071,981,-70.53539005,45.40048821
Transcanada,Kibby Mountain,9,Vestas V90 3MW,80,90,125,35,938,1063,973,-70.53439989,45.39778121
Transcanada,Kibby Mountain,10,Vestas V90 3MW,80,90,125,35,927,1052,962,-70.53460125,45.39557814
Transcanada,Kibby Mountain,11,Vestas V90 3MW,80,90,125,35,897,1022,932,-70.53681635,45.39360578
Transcanada,Kibby Mountain,12,Vestas V90 3MW,80,90,125,35,862,987,897,-70.53848176,45.39138088
Transcanada,Kibby Mountain,13,Vestas V90 3MW,80,90,125,35,810,935,845,-70.53963931,45.38887923
Transcanada,Kibby Mountain,14,Vestas V90 3MW,80,90,125,35,860,985,895,-70.52418752,45.3931026
Transcanada,Kibby Mountain,15,Vestas V90 3MW,80,90,125,35,871,996,906,-70.52417499,45.3907326
Transcanada,Kibby Mountain,16,Vestas V90 3MW,80,90,125,35,892,1017,927,-70.5240318,45.38819027
